DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,1999,131936,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2000,95056,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2001,93269,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2002,90561,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2003,86409,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2004,80893,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2005,78944,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2006,78531,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2007,76789,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2008,74146,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2009,74012,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2010,74429,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2011,73338,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2012,73416,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2013,72570,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2014,71203,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2015,71027,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2016,71190,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2017,69383,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2018,69070,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2019,68068,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,A,T,NH3,NFR_TOT_NAT,BE,2020,67627,
